county_code,district_code,school_code,educational_option,charter,low_grade,high_grade,enrollment,free_meal,f_percent,"FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","2015-16 
CALPADS Fall 1 
Certification Status"
01,61176,6000624,Traditional,N,K,6,659,213,32.3%,248,37.6%,659,213,32.3%,248,37.6%,Y
01,61176,6000640,Traditional,N,K,6,489,117,23.9%,144,29.4%,478,116,24.3%,143,29.9%,Y
01,61176,6000665,Traditional,N,K,6,580,189,32.6%,222,38.3%,547,185,33.8%,216,39.5%,Y
01,61176,6000673,Traditional,N,K,3,1018,31,3.0%,36,3.5%,1014,31,3.1%,36,3.6%,Y
01,61176,6000681,Traditional,N,K,6,605,123,20.3%,158,26.1%,604,123,20.4%,158,26.2%,Y
01,61176,6000715,Traditional,N,K,6,591,151,25.5%,173,29.3%,575,149,25.9%,171,29.7%,Y
01,61176,6000723,Traditional,N,K,6,615,86,14.0%,96,15.6%,615,86,14.0%,96,15.6%,Y
01,61176,6000749,Traditional,N,K,6,670,43,6.4%,52,7.8%,670,43,6.4%,52,7.8%,Y
01,61176,6000756,Traditional,N,K,6,581,56,9.6%,73,12.6%,581,56,9.6%,73,12.6%,Y
01,61176,6000764,Traditional,N,K,6,552,133,24.1%,141,25.5%,550,132,24.0%,140,25.5%,Y
01,61176,6000798,Traditional,N,K,6,895,72,8.0%,87,9.7%,867,70,8.1%,85,9.8%,Y
01,61176,6000806,Traditional,N,K,6,650,133,20.5%,187,28.8%,649,133,20.5%,187,28.8%,Y
01,61176,6000830,Traditional,N,K,6,559,142,25.4%,166,29.7%,547,142,26.0%,166,30.3%,Y
01,61176,6000848,Traditional,N,3,6,886,33,3.7%,42,4.7%,886,33,3.7%,42,4.7%,Y
01,61176,6056873,Traditional,N,7,8,961,268,27.9%,317,33.0%,961,268,27.9%,317,33.0%,Y
01,61176,6056881,Traditional,N,7,8,729,303,41.6%,368,50.5%,729,303,41.6%,368,50.5%,Y
01,61176,6056907,Traditional,N,7,8,1140,146,12.8%,179,15.7%,1140,146,12.8%,179,15.7%,Y
01,61176,6056915,Traditional,N,7,8,1207,207,17.1%,260,21.5%,1207,207,17.1%,260,21.5%,Y
01,61176,6056923,Traditional,N,7,8,1017,29,2.9%,38,3.7%,1017,29,2.9%,38,3.7%,Y
01,61176,6066468,Traditional,N,K,6,820,32,3.9%,33,4.0%,790,32,4.1%,33,4.2%,Y
01,61176,6089320,Traditional,N,K,6,676,76,11.2%,84,12.4%,639,75,11.7%,83,13.0%,Y
01,61176,6089619,Traditional,N,K,6,926,142,15.3%,170,18.4%,910,142,15.6%,170,18.7%,Y
01,61176,6090526,Traditional,N,K,6,788,42,5.3%,53,6.7%,788,42,5.3%,53,6.7%,Y
01,61176,6090534,Traditional,N,K,6,622,16,2.6%,16,2.6%,610,16,2.6%,16,2.6%,Y
01,61176,6090542,Traditional,N,K,6,720,123,17.1%,159,22.1%,720,123,17.1%,159,22.1%,Y
01,61176,6090559,Traditional,N,K,6,597,117,19.6%,149,25.0%,597,117,19.6%,149,25.0%,Y
01,61176,6104723,Traditional,N,K,6,989,58,5.9%,75,7.6%,980,58,5.9%,75,7.7%,Y
01,61176,6106983,Traditional,N,K,6,880,46,5.2%,53,6.0%,850,45,5.3%,52,6.1%,Y
01,61176,6111330,Traditional,N,K,6,1022,37,3.6%,49,4.8%,1022,37,3.6%,49,4.8%,Y
01,61192,0000001,N/A,N/A,,,83,36,43.4%,39,47.0%,63,34,54.0%,37,58.7%,Y
