school_name,test_id,enrollment,charter,f_percent,fr_percent,student_teacher_ratio,student_admin_ratio,avg_exp,avg_yrs_district,dropouts_per_enrollment,susp_per_enrollment,district_budget_per_student,percent_met_and_above
Christopher High,math,1833,False,0.33799999999999997,0.41,21.600282818760313,611.0,11,8,0,0.06655755591925805,4664.917393688828,0.25
Chula Vista Learning Community Charter,ela,1444,True,0.456,0.6459999999999999,20.164781455104038,212.35294117647058,7,6,0,0,4798.755786966591,0.6103782051282052
Chula Vista Learning Community Charter,math,1444,True,0.456,0.6459999999999999,20.164781455104038,212.35294117647058,7,6,0,0,4798.755786966591,0.29038216560509555
Chula Vista Senior High,ela,2598,False,0.584,0.738,24.15620641562064,433.0,13,11,0,0.004234026173979984,4933.276800730808,0.48
Chula Vista Senior High,math,2598,False,0.584,0.738,24.15620641562064,433.0,13,11,0,0.004234026173979984,4933.276800730808,0.21
Circle Of Independent Learning,ela,304,True,0.155,0.162,25.982905982905983,304.0,17,10,0,0,4897.717849190859,0.619359756097561
Circle Of Independent Learning,math,304,True,0.155,0.162,25.982905982905983,304.0,17,10,0,0,4897.717849190859,0.4785670731707317
Citrus Hill High,ela,2339,False,0.624,0.7909999999999999,23.794506612410988,584.75,10,8,0,0.10089781958101753,5156.71741315075,0.64
Citrus Hill High,math,2339,False,0.624,0.7909999999999999,23.794506612410988,584.75,10,8,0,0.10089781958101753,5156.71741315075,0.26
Citrus Valley High,ela,2191,False,0.39899999999999997,0.503,23.37565347274085,547.75,11,11,0,0.03468735737106344,4743.267137415352,0.77
Citrus Valley High,math,2191,False,0.39899999999999997,0.503,23.37565347274085,547.75,11,11,0,0.03468735737106344,4743.267137415352,0.39
City Arts And Tech High,ela,340,True,0.623,0.731,18.085106382978722,113.33333333333333,6,3,0,0.061764705882352944,5340.59900229339,0.5700000000000001
City Arts And Tech High,math,340,True,0.623,0.731,18.085106382978722,113.33333333333333,6,3,0,0.061764705882352944,5340.59900229339,0.15
City Heights Preparatory Charter,ela,162,True,1.0,1.0,27.0,162.0,12,1,0,0.19753086419753085,-5090.988202698735,0.20914285714285716
City Heights Preparatory Charter,math,162,True,1.0,1.0,27.0,162.0,12,1,0,0.19753086419753085,-5090.988202698735,0.08776978417266186
City Honors College Preparatory Academy,ela,294,False,0.386,0.4,22.615384615384617,294.0,15,9,0,0.0,5051.430803069441,0.75
