school_name,test_id,enrollment,charter,f_percent,fr_percent,student_teacher_ratio,student_admin_ratio,avg_exp,avg_yrs_district,susp_per_enrollment,district_budget_per_student,percent_met_and_above
Environmental Charter Middle - Inglewood,math,182,True,0.7909999999999999,0.956,16.545454545454547,91.0,5,2,0.0,20711.151504424797,0.23980662983425416
Epic Charter,ela,288,True,0.809,0.899,26.181818181818183,96.0,8,2,0,4715.8310267220695,0.15024137931034484
Epic Charter,math,288,True,0.809,0.899,26.181818181818183,96.0,8,2,0,4715.8310267220695,0.08025252525252526
Equitas Academy #2 Charter,ela,298,True,0.872,0.963,22.923076923076923,29.8,5,2,0.0,5587.211817288847,0.44
Equitas Academy #2 Charter,math,298,True,0.872,0.963,22.923076923076923,29.8,5,2,0.0,5587.211817288847,0.3165625
Erle Stanley Gardner Middle,ela,1133,False,0.153,0.195,20.443883074702274,566.5,16,12,0.0,4552.128680157356,0.6996322160148976
Erle Stanley Gardner Middle,math,1133,False,0.153,0.195,20.443883074702274,566.5,16,12,0.0,4552.128680157356,0.5600558139534884
Ernest Lawrence Middle,ela,1465,False,0.48100000000000004,0.599,22.890625,488.3333333333333,20,19,0.0,5587.211817288847,0.4920384351407001
Ernest Lawrence Middle,math,1465,False,0.48100000000000004,0.599,22.890625,488.3333333333333,20,19,0.0,5587.211817288847,0.4094815825375171
Esparto Middle,ela,241,False,0.593,0.701,20.083333333333332,241.0,7,4,0.05394190871369295,5608.988300720907,0.250643153526971
Esparto Middle,math,241,False,0.593,0.701,20.083333333333332,241.0,7,4,0.05394190871369295,5608.988300720907,0.14599585062240664
Ethan A Chase Middle,ela,1199,False,0.608,0.787,25.51063829787234,685.1428571428571,10,8,0.07172643869891576,5240.6627493850765,0.34207112970711295
Ethan A Chase Middle,math,1199,False,0.608,0.787,25.51063829787234,685.1428571428571,10,8,0.07172643869891576,5240.6627493850765,0.17994565217391303
Ethel Dwyer Middle,ela,1284,False,0.17300000000000001,0.217,25.176470588235293,642.0,13,10,0.07242990654205607,4879.892425799089,0.7216291698991467
Ethel Dwyer Middle,math,1284,False,0.17300000000000001,0.217,25.176470588235293,642.0,13,10,0.07242990654205607,4879.892425799089,0.6016796267496112
Ethel Kucera Middle,ela,1155,False,0.642,0.758,21.91650853889943,303.94736842105266,13,11,0.19307359307359306,5313.034457951836,0.3006171735241503
Ethel Kucera Middle,math,1155,False,0.642,0.758,21.91650853889943,303.94736842105266,13,11,0.19307359307359306,5313.034457951836,0.16949865711727843
Etiwanda Intermediate,ela,1437,False,0.302,0.374,24.110738255033556,479.0,13,11,0.022964509394572025,5125.767913601616,0.62
Etiwanda Intermediate,math,1437,False,0.302,0.374,24.110738255033556,479.0,13,11,0.022964509394572025,5125.767913601616,0.4696049896049897
Ev Cain 21St Century Stem Charter,ela,664,True,0.389,0.45899999999999996,21.635711958292603,265.6,14,11,0.17921686746987953,4732.42572967679,0.44029411764705884
Ev Cain 21St Century Stem Charter,math,664,True,0.389,0.45899999999999996,21.635711958292603,265.6,14,11,0.17921686746987953,4732.42572967679,0.3804607250755287
Everett Middle,ela,533,False,0.546,0.593,13.439233484619265,177.66666666666666,4,4,0.18761726078799248,5340.59900229339,0.41885371179039305
