school_name,test_id,enrollment,charter,f_percent,fr_percent,student_teacher_ratio,student_admin_ratio,avg_exp,avg_yrs_district,dropouts_per_enrollment,susp_per_enrollment,district_budget_per_student,percent_met_and_above
Desert Rose Elementary,ela,990,False,0.787,0.8809999999999999,28.285714285714285,495.0,19,17,0,0.07171717171717172,4735.459660547127,0.2106781193490054
Desert Rose Elementary,math,990,False,0.787,0.8809999999999999,28.285714285714285,495.0,19,17,0,0.07171717171717172,4735.459660547127,0.11152527075812274
Desert Trails Preparatory Academy,ela,524,True,0.768,0.9159999999999999,22.782608695652176,131.0,5,1,0,0.0,4327.4254047402,0.2811091549295775
Desert Trails Preparatory Academy,math,524,True,0.768,0.9159999999999999,22.782608695652176,131.0,5,1,0,0.0,4327.4254047402,0.15257950530035336
Desert View Elementary,ela,800,False,0.84,0.884,25.0,400.0,16,14,0,0.08625,4577.099326401153,0.23939393939393938
Desert View Elementary,math,800,False,0.84,0.884,25.0,400.0,16,14,0,0.08625,4577.099326401153,0.0895533769063181
Design 39 Campus,ela,1011,False,0.086,0.111,25.275,337.0,9,8,0,0,4502.411981213837,0.7988573883161512
Design 39 Campus,math,1011,False,0.086,0.111,25.275,337.0,9,8,0,0,4502.411981213837,0.6665265866209263
Dewey Avenue Elementary,ela,388,False,0.7170000000000001,0.835,20.42105263157895,388.0,12,11,0,0.0,6103.4277607361955,0.5608461538461539
Dewey Avenue Elementary,math,388,False,0.7170000000000001,0.835,20.42105263157895,388.0,12,11,0,0.0,6103.4277607361955,0.499951690821256
Dewey Elementary,ela,308,False,0.369,0.6579999999999999,18.11764705882353,308.0,22,20,0,0.0,-5090.988202698735,0.579388888888889
Dewey Elementary,math,308,False,0.369,0.6579999999999999,18.11764705882353,308.0,22,20,0,0.0,-5090.988202698735,0.6285869565217391
Diablo Vista Elementary,ela,499,False,0.5329999999999999,0.605,22.681818181818183,499.0,18,15,0,0.0,4860.890335123647,0.41017921146953407
